df_hash,22ZHK4.FR6L0Q
14.839,590
14.864,607
14.889,619
14.914,618
14.939,597
14.964,558
14.989,522
15.014,504
15.039,499
15.064,485
15.089,449
15.114,399
15.139,357
15.164,330
15.189,307
15.214,271
15.239,214
15.264,147
15.289,85
15.314,43
15.339,32
15.364,63
15.389,139
15.414,240
15.439,329
15.464,371
15.489,358
15.514,309
15.539,252
15.564,205
15.589,171
15.614,145
15.639,126
15.664,112
15.689,98
15.714,79
15.739,56
15.764,35
15.789,20
15.814,7
15.839,-11
15.864,-37
15.889,-66
15.914,-99
15.939,-136
15.964,-179
15.989,-218
16.014,-239
16.039,-233
16.064,-209
16.089,-184
16.114,-173
16.139,-177
16.164,-192
16.189,-213
16.214,-228
16.239,-214
16.264,-141
16.289,0
16.314,191
16.339,381
16.364,529
16.389,619
16.414,665
16.439,684
16.464,686
16.489,671
16.514,643
16.539,612
16.564,581
16.589,548
16.614,504
16.639,455
16.664,417
16.689,401
16.714,403
16.739,405
16.764,391
16.789,368
16.814,354
16.839,361
16.864,385
16.889,410
16.914,420
16.939,410
16.964,380
16.989,334
17.014,278
17.039,226
17.064,197
17.089,197
17.114,212
17.139,217
17.164,191
17.189,138
17.214,73
17.239,16
17.264,-23
17.289,-41
17.314,-30
17.339,8
17.364,59
17.389,89
17.414,73
17.439,23
17.464,-16
17.489,-7
17.514,42
17.539,89
17.564,95
17.589,75
17.614,77
17.639,135
17.664,224
17.689,281
17.714,265
17.739,195
17.764,127
17.789,104
17.814,118
17.839,128
17.864,110
17.889,76
17.914,62
17.939,94
17.964,166
17.989,248
18.014,311
18.039,341
18.064,343
18.089,332
18.114,319
18.139,302
18.164,275
18.189,240
18.214,214
18.239,222
18.264,269
18.289,330
18.314,369
18.339,367
18.364,339
18.389,308
18.414,277
18.439,224
18.464,133
18.489,29
18.514,-38
18.539,-35
18.564,25
18.589,100
18.614,158
18.639,203
18.664,252
18.689,303
18.714,327
18.739,306
18.764,260
18.789,232
18.814,247
18.839,287
18.864,315
18.889,311
18.914,294
18.939,298
18.964,331
18.989,367
19.014,370
19.039,326
19.064,247
19.089,162
19.114,93
19.139,55
19.164,52
19.189,82
19.214,132
19.239,185
19.264,221
19.289,237
19.314,234
19.339,220
19.364,196
19.389,165
19.414,135
19.439,114
19.464,105
19.489,100
19.514,86
19.539,61
19.564,34
19.589,15
19.614,3
19.639,-10
19.664,-36
19.689,-69
19.714,-83
19.739,-46
19.764,55
19.789,207
19.814,365
19.839,480
19.864,523
19.889,500
19.914,435
19.939,357
19.964,283
19.989,220
20.014,170
20.039,134
20.064,103
20.089,65
20.114,17
20.139,-26
20.164,-39
20.189,-6
20.214,61
20.239,132
20.264,182
20.289,210
20.314,234
20.339,266
20.364,297
20.389,314
20.414,307
20.439,285
20.464,259
20.489,241
20.514,240
20.539,265
20.564,315
20.589,375
20.614,411
20.639,403
20.664,357
20.689,307
20.714,280
20.739,274
20.764,263
20.789,226
20.814,175
20.839,144
20.864,156
20.889,206
20.914,264
20.939,307
20.964,330
20.989,343
21.014,350
21.039,346
21.064,327
21.089,296
21.114,268
21.139,255
21.164,254
21.189,256
21.214,252
21.239,241
21.264,224
21.289,201
21.314,168
21.339,124
21.364,83
21.389,64
21.414,82
21.439,132
21.464,193
21.489,240
21.514,260
21.539,257
21.564,243
21.589,223
21.614,198
21.639,173
21.664,155
21.689,153
21.714,163
21.739,172
21.764,171
21.789,161
21.814,152
21.839,150
21.864,150
21.889,142
21.914,124
21.939,110
21.964,117
21.989,148
22.014,190
22.039,222
22.064,232
22.089,222
22.114,200
22.139,173
22.164,144
22.189,116
22.214,93
22.239,83
22.264,83
22.289,87
22.314,85
22.339,75
22.364,64
22.389,59
22.414,64
22.439,71
22.464,71
22.489,60
22.514,47
22.539,51
22.564,85
22.589,145
22.614,218
22.639,286
22.664,340
22.689,381
22.714,413
22.739,435
22.764,445
22.789,440
22.814,423
22.839,403
22.864,384
22.889,363
22.914,338
22.939,303
22.964,261
22.989,220
23.014,186
23.039,164
23.064,149
23.089,132
23.114,112
23.139,99
23.164,111
23.189,156
23.214,219
23.239,273
23.264,295
23.289,287
23.314,269
23.339,261
23.364,265
23.389,267
23.414,258
23.439,241
23.464,224
23.489,215
23.514,207
23.539,195
23.564,181
23.589,171
23.614,168
23.639,163
23.664,143
23.689,109
23.714,76
23.739,63
23.764,78
23.789,115
23.814,159
23.839,197
23.864,221
23.889,227
23.914,218
23.939,200
23.964,181
23.989,169
24.014,162
24.039,158
24.064,154
24.089,152
24.114,156
24.139,163
24.164,167
24.189,166
24.214,164
24.239,161
24.264,157
24.289,144
24.314,124
24.339,110
24.364,120
24.389,162
24.414,226
24.439,289
24.464,333
24.489,354
24.514,359
24.539,355
24.564,346
24.589,333
24.614,318
24.639,303
24.664,288
24.689,273
24.714,259
24.739,248
24.764,237
24.789,223
24.814,203
24.839,181
24.864,163
24.889,149
24.914,134
24.939,110
24.964,82
24.989,67
25.014,83
25.039,130
25.064,189
25.089,237
25.114,263
25.139,271
25.164,271
25.189,270
25.214,266
25.239,257
25.264,247
25.289,243
25.314,244
25.339,246
25.364,244
25.389,235
25.414,222
25.439,209
25.464,198
25.489,188
25.514,176
25.539,160
25.564,136
25.589,108
25.614,86
25.639,83
25.664,109
25.689,157
25.714,213
25.739,257
25.764,283
25.789,291
25.814,289
25.839,279
25.864,264
25.889,248
25.914,237
25.939,235
25.964,239
25.989,241
26.014,235
26.039,225
26.064,217
26.089,211
26.114,202
26.139,188
26.164,174
26.189,167
26.214,161
26.239,142
26.264,97
26.289,41
26.314,8
26.339,26
26.364,93
26.389,175
26.414,237
26.439,266
26.464,272
26.489,269
26.514,263
26.539,252
26.564,237
26.589,225
26.614,223
26.639,227
26.664,226
26.689,219
26.714,212
26.739,212
26.764,214
26.789,207
26.814,184
26.839,150
26.864,115
26.889,84
26.914,60
26.939,47
26.964,56
26.989,90
27.014,143
27.039,198
27.064,243
27.089,276
27.114,300
27.139,315
27.164,318
27.189,309
27.214,301
27.239,306
27.264,322
27.289,335
27.314,329
27.339,306
27.364,278
27.389,253
27.414,227
27.439,194
27.464,162
27.489,141
27.514,136
27.539,130
27.564,107
27.589,71
27.614,46
27.639,58
